X    f(X)    f'(X)    f''(X)    C(X)    absolute_error
1.370000000000001e-01    -4.976611946034575e-01    3.403657244033854e-02    2.453387992389638e-01    1.132881485480787e-16    1.132881485480787e-16
1.380000000000001e-01    -4.976270353729034e-01    3.428187736178437e-02    2.452709636291714e-01    1.562504094068016e-16    1.562504094068016e-16
1.390000000000001e-01    -4.975926308714257e-01    3.452711420759745e-02    2.452026480212153e-01    2.029998207953388e-16    2.029998207953388e-16
1.400000000000001e-01    -4.975579811673401e-01    3.477228249792321e-02    2.451338527026175e-01    1.425706030756811e-16    1.425706030756811e-16
1.410000000000001e-01    -4.975230863294416e-01    3.501738175319560e-02    2.450645779628776e-01    1.869058682649097e-16    1.869058682649097e-16
1.420000000000001e-01    -4.974879464270051e-01    3.526241149413904e-02    2.449948240934712e-01    1.617301371321007e-16    1.617301371321007e-16
1.430000000000001e-01    -4.974525615297845e-01    3.550737124177043e-02    2.449245913878476e-01    1.298727214933107e-16    1.298727214933107e-16
1.440000000000001e-01    -4.974169317080123e-01    3.575226051740110e-02    2.448538801414279e-01    1.150449371636006e-16    1.150449371636006e-16
1.450000000000001e-01    -4.973810570323998e-01    3.599707884263877e-02    2.447826906516023e-01    1.669924789852517e-16    1.669924789852517e-16
1.460000000000001e-01    -4.973449375741364e-01    3.624182573938958e-02    2.447110232177288e-01    1.867438729877844e-16    1.867438729877844e-16
1.470000000000001e-01    -4.973085734048897e-01    3.648650072985995e-02    2.446388781411303e-01    2.317914529014220e-16    2.317914529014220e-16
1.480000000000001e-01    -4.972719645968046e-01    3.673110333655865e-02    2.445662557250927e-01    2.508496647084610e-16    2.508496647084610e-16
1.490000000000001e-01    -4.972351112225036e-01    3.697563308229870e-02    2.444931562748631e-01    2.152699759814498e-16    2.152699759814498e-16
1.500000000000001e-01    -4.971980133550860e-01    3.722008949019934e-02    2.444195800976470e-01    2.592805147116450e-16    2.592805147116450e-16
1.510000000000001e-01    -4.971606710681279e-01    3.746447208368801e-02    2.443455275026063e-01    2.795084396870541e-16    2.795084396870541e-16
1.520000000000001e-01    -4.971230844356821e-01    3.770878038650227e-02    2.442709988008572e-01    2.326645552890434e-16    2.326645552890434e-16
1.530000000000001e-01    -4.970852535322772e-01    3.795301392269180e-02    2.441959943054679e-01    2.494673943715068e-16    2.494673943715068e-16
1.540000000000001e-01    -4.970471784329175e-01    3.819717221662029e-02    2.441205143314564e-01    2.634970774689692e-16    2.634970774689692e-16
1.550000000000001e-01    -4.970088592130831e-01    3.844125479296745e-02    2.440445591957880e-01    2.546705146049115e-16    2.546705146049115e-16
1.560000000000001e-01    -4.969702959487291e-01    3.868526117673091e-02    2.439681292173733e-01    2.821930688369031e-16    2.821930688369031e-16
1.570000000000001e-01    -4.969314887162854e-01    3.892919089322820e-02    2.438912247170660e-01    3.071464425243486e-16    3.071464425243486e-16
1.580000000000001e-01    -4.968924375926565e-01    3.917304346809864e-02    2.438138460176599e-01    3.270578659106527e-16    3.270578659106527e-16
1.590000000000001e-01    -4.968531426552211e-01    3.941681842730536e-02    2.437359934438877e-01    3.545089668531658e-16    3.545089668531658e-16
1.600000000000001e-01    -4.968136039818317e-01    3.966051529713715e-02    2.436576673224175e-01    3.786347798169109e-16    3.786347798169109e-16
1.610000000000001e-01    -4.967738216508144e-01    3.990413360421045e-02    2.435788679818514e-01    3.351942184806315e-16    3.351942184806315e-16
1.620000000000001e-01    -4.967337957409685e-01    4.014767287547129e-02    2.434995957527226e-01    3.338147380046086e-16    3.338147380046086e-16
1.630000000000001e-01    -4.966935263315663e-01    4.039113263819716e-02    2.434198509674931e-01    2.905927710851571e-16    2.905927710851571e-16
1.640000000000001e-01    -4.966530135023525e-01    4.063451241999900e-02    2.433396339605516e-01    3.110116259036265e-16    3.110116259036265e-16
